day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
109,m3,1,1,22,True,p25r1,p9r3,p9r3,True,False,,
110,m1,1,1,16,True,p25r2,p27r0,p27r0,True,False,,
110,m3,2,2,21,True,p25r1|p38r1,p31r0|p31r2,p31r0|p31r2,True,False,,
111,m3,3,3,20,True,p25r1|p38r1|p38r2,p31r3|p3r0|p42r3,p31r3|p3r0|p42r3,True,False,,
112,m1,1,1,15,True,p25r2,p27r3,p27r3,True,False,,
112,m3,1,1,18,True,p25r1,p17r3,p17r3,True,False,,
113,m3,2,2,17,True,p25r1|p38r1,p3r1|p3r2,p3r1|p3r2,True,False,,
115,m1,2,2,14,True,p25r2|p25r3,p45r2|p45r3,p45r2|p45r3,True,False,,
115,m3,1,1,17,True,p25r1,p17r1,p17r1,True,False,,
116,m3,1,1,16,True,p25r1,p9r0,p9r0,True,False,,
117,m1,1,1,13,True,p25r2,p4r0,p4r0,True,False,,
117,m3,2,2,15,True,p25r1|p38r1,p33r0|p3r3,p33r0|p3r3,True,False,,
118,m3,3,3,13,True,p25r1|p38r1|p38r2,p33r1|p33r3|p49r3,p33r1|p33r3|p49r3,True,False,,
119,m1,1,1,12,True,p25r2,p26r2,p26r2,True,False,,
119,m3,1,1,10,True,p25r1,p49r1,p49r1,True,False,,
120,m3,2,2,9,True,p25r1|p38r1,p49r0|p49r2,p49r0|p49r2,True,False,,
122,m1,2,2,11,True,p25r2|p25r3,p23r2|p23r3,p23r2|p23r3,True,False,,
122,m3,1,1,9,True,p25r1,p23r1,p23r1,True,False,,
123,m3,1,1,8,True,p25r1,p20r1,p20r1,True,False,,
124,m1,1,1,9,True,p25r2,p32r1,p32r1,True,False,,
124,m3,2,2,7,True,p25r1|p38r1,p14r0|p14r1,p14r0|p14r1,True,False,,
125,m3,3,3,5,True,p25r1|p38r1|p38r2,p25r0|p38r1|p38r2,p25r0|p38r2|p38r3,False,False,0.014418907506039913,0.014418907506039913
126,m1,1,1,9,True,p25r2,p27r1,p27r1,True,False,,
126,m3,1,1,2,True,p25r1,p38r1,p38r1,True,False,,
127,m3,2,1,1,False,p25r1,p25r1,p25r1,True,True,,
129,m1,2,2,9,True,p25r2|p25r3,p27r0|p32r2,p27r0|p32r2,True,False,,
130,m3,3,1,1,False,p3r1,p3r1,p3r1,True,True,,
131,m1,1,1,7,True,p25r2,p32r3,p32r3,True,False,,
133,m1,1,1,8,True,p25r2,p45r2,p45r2,True,False,,
134,m3,9,1,1,False,p33r0,p33r0,p33r0,True,True,,
136,m1,2,2,8,True,p25r2|p25r3,p26r2|p45r3,p26r2|p45r3,True,False,,
138,m1,1,1,6,True,p25r2,p32r0,p32r0,True,False,,
140,m1,1,1,6,True,p25r2,p23r2,p23r2,True,False,,
141,m3,10,1,1,False,p14r0,p14r0,p14r0,True,True,,
143,m1,2,2,6,True,p25r2|p25r3,p27r1|p33r2,p27r1|p33r2,True,False,,
145,m1,1,1,4,True,p25r2,p14r2,p14r2,True,False,,
147,m1,1,1,4,True,p25r2,p32r2,p32r2,True,False,,
147,m3,9,1,1,False,p3r1,p3r1,p3r1,True,True,,
150,m1,2,2,4,True,p25r2|p25r3,p14r3|p32r3,p14r3|p32r3,True,False,,
152,m1,1,1,2,True,p25r2,p25r3,p25r3,True,False,,
154,m1,1,1,2,True,p25r2,p45r3,p45r3,True,False,,
157,m1,2,1,1,False,p25r2,p25r2,p25r2,True,True,,
168,m1,4,1,1,False,p25r3,p25r3,p25r3,True,True,,
